Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1-private0:3.2.2                             3.2.2
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1-private0:3.2.3                             3.2.3
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1-private0:3.2.4                             3.2.4
ekiga-on-windows-server-2019                        apps-4-rent                         ekiga-on-windows-server-2019                       apps-4-rent:ekiga-on-windows-server-2019:ekiga-on-windows-server-2019:1.0.0                                                       1.0.0
cis-windows-server-2008-r2-v3-0-1-l2-               center-for-internet-security-inc    cis-ws2008-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l2-:cis-ws2008-r2-l2:3.2.2                                     3.2.2
cis-windows-server-2008-r2-v3-0-1-l2-               center-for-internet-security-inc    cis-ws2008-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l2-:cis-ws2008-r2-l2:3.2.3                                     3.2.3
cis-windows-server-2008-r2-v3-0-1-l2-               center-for-internet-security-inc    cis-ws2008-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l2-:cis-ws2008-r2-l2:3.2.4                                     3.2.4
cis-windows-server-2008-r2-v3-0-1-l2-               center-for-internet-security-inc    cis-ws2008-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l2-:cis-ws2008-r2-l2-private0:3.2.2                            3.2.2
cis-windows-server-2008-r2-v3-0-1-l2-               center-for-internet-security-inc    cis-ws2008-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l2-:cis-ws2008-r2-l2-private0:3.2.3                            3.2.3
cis-windows-server-2008-r2-v3-0-1-l2-               center-for-internet-security-inc    cis-ws2008-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l2-:cis-ws2008-r2-l2-private0:3.2.4                            3.2.4
freecad-on-windows-server-2019                      apps-4-rent                         freecad-on-windows-server-2019                     apps-4-rent:freecad-on-windows-server-2019:freecad-on-windows-server-2019:1.0.0                                                   1.0.0
cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.4.2                                      2.4.2
cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.4.3                                      2.4.3
cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1:2.4.4                                      2.4.4
geoserver-on-windows-server-2019                    apps-4-rent                         geoserver-on-windows-server-2019-v1                apps-4-rent:geoserver-on-windows-server-2019:geoserver-on-windows-server-2019-v1:1.0.1                                            1.0.1
cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.4.2                             2.4.2
cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.4.3                             2.4.3
cis-windows-server-2012-r2-v2-2-1-l1                center-for-internet-security-inc    cis-ws2012-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l1:cis-ws2012-r2-l1-private0:2.4.4                             2.4.4
docker-windows-2016                                 cloud-infrastructure-services       docker-windows-2016                                cloud-infrastructure-services:docker-windows-2016:docker-windows-2016:0.0.2                                                       0.0.2
geoserver-windows-server-2016                       apps-4-rent                         geoserver-v1                                       apps-4-rent:geoserver-windows-server-2016:geoserver-v1:1.0.1                                                                      1.0.1
cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.4.2                                      2.4.2
cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.4.3                                      2.4.3
cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2                                   center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2:2.4.4                                      2.4.4
docker-windows-2019                                 cloud-infrastructure-services       docker-windows-2019                                cloud-infrastructure-services:docker-windows-2019:docker-windows-2019:0.0.2                                                       0.0.2
cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.4.2                             2.4.2
cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.4.3                             2.4.3
cis-windows-server-2012-r2-v2-2-1-l2                center-for-internet-security-inc    cis-ws2012-r2-l2-private0                          center-for-internet-security-inc:cis-windows-server-2012-r2-v2-2-1-l2:cis-ws2012-r2-l2-private0:2.4.4                             2.4.4
guncash-windows-server-2016                         apps-4-rent                         gnucash-windows-server-2016                        apps-4-rent:guncash-windows-server-2016:gnucash-windows-server-2016:1.0.1                                                         1.0.1
cis-windows-server-2012-v2-0-1-l1                   center-for-internet-security-inc    cis-ws2012-l1                                      center-for-internet-security-inc:cis-windows-server-2012-v2-0-1-l1:cis-ws2012-l1:2.2.2                                            2.2.2
cis-windows-server-2012-v2-0-1-l1                   center-for-internet-security-inc    cis-ws2012-l1                                      center-for-internet-security-inc:cis-windows-server-2012-v2-0-1-l1:cis-ws2012-l1:2.2.3                                            2.2.3
cis-windows-server-2012-v2-0-1-l1                   center-for-internet-security-inc    cis-ws2012-l1                                      center-for-internet-security-inc:cis-windows-server-2012-v2-0-1-l1:cis-ws2012-l1:2.2.4                                            2.2.4
jenkins-windows-2016                                cloud-infrastructure-services       jenkins-windows-2016                               cloud-infrastructure-services:jenkins-windows-2016:jenkins-windows-2016:0.0.4                                                     0.0.4
guncash-windows-server-2019                         apps-4-rent                         gnucash-windows-server-2019                        apps-4-rent:guncash-windows-server-2019:gnucash-windows-server-2019:1.0.1                                                         1.0.1
cis-windows-server-2012-v2-0-1-l2                   center-for-internet-security-inc    cis-ws2012-l2                                      center-for-internet-security-inc:cis-windows-server-2012-v2-0-1-l2:cis-ws2012-l2:2.2.2                                            2.2.2
