Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
WindowsServerHPCPack                                MicrosoftWindowsServerHPCPack       2019hn-ws2016                                      MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2016:6.0.7214                                                         6.0.7214
Windows-10                                          MicrosoftWindowsDesktop             20h1-ent                                           MicrosoftWindowsDesktop:Windows-10:20h1-ent:19041.630.2011061636                                                                  19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-ent                                           MicrosoftWindowsDesktop:Windows-10:20h1-ent:19041.685.2012032305                                                                  19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-ent                                           MicrosoftWindowsDesktop:Windows-10:20h1-ent:19041.746.2101092327                                                                  19041.746.2101092327
WindowsServerHPCPack                                MicrosoftWindowsServerHPCPack       2019hn-ws2019                                      MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7121                                                         6.0.7121
WindowsServerHPCPack                                MicrosoftWindowsServerHPCPack       2019hn-ws2019                                      MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7201                                                         6.0.7201
WindowsServerHPCPack                                MicrosoftWindowsServerHPCPack       2019hn-ws2019                                      MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7205                                                         6.0.7205
WindowsServerHPCPack                                MicrosoftWindowsServerHPCPack       2019hn-ws2019                                      MicrosoftWindowsServerHPCPack:WindowsServerHPCPack:2019hn-ws2019:6.0.7214                                                         6.0.7214
Windows-10                                          MicrosoftWindowsDesktop             20h1-ent-g2                                        MicrosoftWindowsDesktop:Windows-10:20h1-ent-g2:19041.630.2011061636                                                               19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-ent-g2                                        MicrosoftWindowsDesktop:Windows-10:20h1-ent-g2:19041.685.2012032305                                                               19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-ent-g2                                        MicrosoftWindowsDesktop:Windows-10:20h1-ent-g2:19041.746.2101092327                                                               19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-entn                                          MicrosoftWindowsDesktop:Windows-10:20h1-entn:19041.630.2011061636                                                                 19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-entn                                          MicrosoftWindowsDesktop:Windows-10:20h1-entn:19041.685.2012032305                                                                 19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-entn                                          MicrosoftWindowsDesktop:Windows-10:20h1-entn:19041.746.2101092327                                                                 19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-entn-g2                                       MicrosoftWindowsDesktop:Windows-10:20h1-entn-g2:19041.630.2011061636                                                              19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-entn-g2                                       MicrosoftWindowsDesktop:Windows-10:20h1-entn-g2:19041.685.2012032305                                                              19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-entn-g2                                       MicrosoftWindowsDesktop:Windows-10:20h1-entn-g2:19041.746.2101092327                                                              19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-evd                                           MicrosoftWindowsDesktop:Windows-10:20h1-evd:19041.630.2011061636                                                                  19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-evd                                           MicrosoftWindowsDesktop:Windows-10:20h1-evd:19041.685.2012032305                                                                  19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-evd                                           MicrosoftWindowsDesktop:Windows-10:20h1-evd:19041.746.2101092327                                                                  19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro                                           MicrosoftWindowsDesktop:Windows-10:20h1-pro:19041.630.2011061636                                                                  19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro                                           MicrosoftWindowsDesktop:Windows-10:20h1-pro:19041.685.2012032305                                                                  19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro                                           MicrosoftWindowsDesktop:Windows-10:20h1-pro:19041.746.2101092327                                                                  19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-g2                                        MicrosoftWindowsDesktop:Windows-10:20h1-pro-g2:19041.630.2011061636                                                               19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-g2                                        MicrosoftWindowsDesktop:Windows-10:20h1-pro-g2:19041.685.2012032305                                                               19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-g2                                        MicrosoftWindowsDesktop:Windows-10:20h1-pro-g2:19041.746.2101092327                                                               19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-zh-cn                                     MicrosoftWindowsDesktop:Windows-10:20h1-pro-zh-cn:19041.630.2011061636                                                            19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-zh-cn                                     MicrosoftWindowsDesktop:Windows-10:20h1-pro-zh-cn:19041.685.2012032305                                                            19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-zh-cn                                     MicrosoftWindowsDesktop:Windows-10:20h1-pro-zh-cn:19041.746.2101092327                                                            19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-zh-cn-g2                                  MicrosoftWindowsDesktop:Windows-10:20h1-pro-zh-cn-g2:19041.630.2011061636                                                         19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-zh-cn-g2                                  MicrosoftWindowsDesktop:Windows-10:20h1-pro-zh-cn-g2:19041.685.2012032305                                                         19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-pro-zh-cn-g2                                  MicrosoftWindowsDesktop:Windows-10:20h1-pro-zh-cn-g2:19041.746.2101092327                                                         19041.746.2101092327
playwright-windows                                  noricumcloudsolutions1600524477681  hourly                                             noricumcloudsolutions1600524477681:playwright-windows:hourly:1.0.0                                                                1.0.0
Windows-10                                          MicrosoftWindowsDesktop             20h1-pron                                          MicrosoftWindowsDesktop:Windows-10:20h1-pron:19041.630.2011061636                                                                 19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-pron                                          MicrosoftWindowsDesktop:Windows-10:20h1-pron:19041.685.2012032305                                                                 19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-pron                                          MicrosoftWindowsDesktop:Windows-10:20h1-pron:19041.746.2101092327                                                                 19041.746.2101092327
Windows-10                                          MicrosoftWindowsDesktop             20h1-pron-g2                                       MicrosoftWindowsDesktop:Windows-10:20h1-pron-g2:19041.630.2011061636                                                              19041.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h1-pron-g2                                       MicrosoftWindowsDesktop:Windows-10:20h1-pron-g2:19041.685.2012032305                                                              19041.685.2012032305
Windows-10                                          MicrosoftWindowsDesktop             20h1-pron-g2                                       MicrosoftWindowsDesktop:Windows-10:20h1-pron-g2:19041.746.2101092327                                                              19041.746.2101092327
puppeteer-windows                                   noricumcloudsolutions1600524477681  hourly                                             noricumcloudsolutions1600524477681:puppeteer-windows:hourly:1.0.0                                                                 1.0.0
Windows-10                                          MicrosoftWindowsDesktop             20h2-ent                                           MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.630.2011061636                                                                  19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-ent                                           MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.685.2012032244                                                                  19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-ent                                           MicrosoftWindowsDesktop:Windows-10:20h2-ent:19042.746.2101092352                                                                  19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-ent-g2                                        MicrosoftWindowsDesktop:Windows-10:20h2-ent-g2:19042.630.2011061636                                                               19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-ent-g2                                        MicrosoftWindowsDesktop:Windows-10:20h2-ent-g2:19042.685.2012032244                                                               19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-ent-g2                                        MicrosoftWindowsDesktop:Windows-10:20h2-ent-g2:19042.746.2101092352                                                               19042.746.2101092352
selenium-windows                                    noricumcloudsolutions1600524477681  hourly                                             noricumcloudsolutions1600524477681:selenium-windows:hourly:1.0.0                                                                  1.0.0
selenium-windows                                    noricumcloudsolutions1600524477681  hourly                                             noricumcloudsolutions1600524477681:selenium-windows:hourly:1.0.1                                                                  1.0.1
Windows-10                                          MicrosoftWindowsDesktop             20h2-entn                                          MicrosoftWindowsDesktop:Windows-10:20h2-entn:19042.630.2011061636                                                                 19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-entn                                          MicrosoftWindowsDesktop:Windows-10:20h2-entn:19042.685.2012032244                                                                 19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-entn                                          MicrosoftWindowsDesktop:Windows-10:20h2-entn:19042.746.2101092352                                                                 19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-entn-g2                                       MicrosoftWindowsDesktop:Windows-10:20h2-entn-g2:19042.630.2011061636                                                              19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-entn-g2                                       MicrosoftWindowsDesktop:Windows-10:20h2-entn-g2:19042.685.2012032244                                                              19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-entn-g2                                       MicrosoftWindowsDesktop:Windows-10:20h2-entn-g2:19042.746.2101092352                                                              19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-evd                                           MicrosoftWindowsDesktop:Windows-10:20h2-evd:19042.630.2011061636                                                                  19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-evd                                           MicrosoftWindowsDesktop:Windows-10:20h2-evd:19042.685.2012032244                                                                  19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-evd                                           MicrosoftWindowsDesktop:Windows-10:20h2-evd:19042.746.2101092352                                                                  19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro                                           MicrosoftWindowsDesktop:Windows-10:20h2-pro:19042.630.2011061636                                                                  19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro                                           MicrosoftWindowsDesktop:Windows-10:20h2-pro:19042.685.2012032244                                                                  19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro                                           MicrosoftWindowsDesktop:Windows-10:20h2-pro:19042.746.2101092352                                                                  19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-g2                                        MicrosoftWindowsDesktop:Windows-10:20h2-pro-g2:19042.630.2011061636                                                               19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-g2                                        MicrosoftWindowsDesktop:Windows-10:20h2-pro-g2:19042.685.2012032244                                                               19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-g2                                        MicrosoftWindowsDesktop:Windows-10:20h2-pro-g2:19042.746.2101092352                                                               19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-zh-cn                                     MicrosoftWindowsDesktop:Windows-10:20h2-pro-zh-cn:19042.630.2011061636                                                            19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-zh-cn                                     MicrosoftWindowsDesktop:Windows-10:20h2-pro-zh-cn:19042.685.2012032244                                                            19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-zh-cn                                     MicrosoftWindowsDesktop:Windows-10:20h2-pro-zh-cn:19042.746.2101092352                                                            19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-zh-cn-g2                                  MicrosoftWindowsDesktop:Windows-10:20h2-pro-zh-cn-g2:19042.630.2011061636                                                         19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-zh-cn-g2                                  MicrosoftWindowsDesktop:Windows-10:20h2-pro-zh-cn-g2:19042.685.2012032244                                                         19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-pro-zh-cn-g2                                  MicrosoftWindowsDesktop:Windows-10:20h2-pro-zh-cn-g2:19042.746.2101092352                                                         19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-pron                                          MicrosoftWindowsDesktop:Windows-10:20h2-pron:19042.630.2011061636                                                                 19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-pron                                          MicrosoftWindowsDesktop:Windows-10:20h2-pron:19042.685.2012032244                                                                 19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-pron                                          MicrosoftWindowsDesktop:Windows-10:20h2-pron:19042.746.2101092352                                                                 19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             20h2-pron-g2                                       MicrosoftWindowsDesktop:Windows-10:20h2-pron-g2:19042.630.2011061636                                                              19042.630.2011061636
Windows-10                                          MicrosoftWindowsDesktop             20h2-pron-g2                                       MicrosoftWindowsDesktop:Windows-10:20h2-pron-g2:19042.685.2012032244                                                              19042.685.2012032244
Windows-10                                          MicrosoftWindowsDesktop             20h2-pron-g2                                       MicrosoftWindowsDesktop:Windows-10:20h2-pron-g2:19042.746.2101092352                                                              19042.746.2101092352
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprise                                     MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.4104.2012040817                                                           14393.4104.2012040817
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprise                                     MicrosoftWindowsDesktop:Windows-10:rs1-enterprise:14393.4169.2101090332                                                           14393.4169.2101090332
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprise-g2                                  MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.4046.2010301518                                                        14393.4046.2010301518
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprise-g2                                  MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.4104.2012040817                                                        14393.4104.2012040817
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprise-g2                                  MicrosoftWindowsDesktop:Windows-10:rs1-enterprise-g2:14393.4169.2101090332                                                        14393.4169.2101090332
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprisen                                    MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.4104.2012040817                                                          14393.4104.2012040817
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprisen                                    MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen:14393.4169.2101090332                                                          14393.4169.2101090332
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprisen-g2                                 MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.4046.2010301518                                                       14393.4046.2010301518
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprisen-g2                                 MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.4104.2012040817                                                       14393.4104.2012040817
Windows-10                                          MicrosoftWindowsDesktop             rs1-enterprisen-g2                                 MicrosoftWindowsDesktop:Windows-10:rs1-enterprisen-g2:14393.4169.2101090332                                                       14393.4169.2101090332
Windows-10                                          MicrosoftWindowsDesktop             rs4-pro-g2                                         MicrosoftWindowsDesktop:Windows-10:rs4-pro-g2:17134.1246.2001090113                                                               17134.1246.2001090113
Windows-10                                          MicrosoftWindowsDesktop             rs4-pro-g2                                         MicrosoftWindowsDesktop:Windows-10:rs4-pro-g2:17134.1304.2002072323                                                               17134.1304.2002072323
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise                                     MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.1637.2012040632                                                           17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise                                     MicrosoftWindowsDesktop:Windows-10:rs5-enterprise:17763.1697.2101090203                                                           17763.1697.2101090203
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-g2                                  MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.1577.2011031610                                                        17763.1577.2011031610
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-g2                                  MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.1637.2012040632                                                        17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-g2                                  MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-g2:17763.1697.2101090203                                                        17763.1697.2101090203
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.12.003001                                                                                 1200.12.003001
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.13.002001                                                                                 1200.13.002001
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.14.007001                                                                                 1200.14.007001
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.15.004001                                                                                 1200.15.004001
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.16.008001                                                                                 1200.16.008001
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.17.024002                                                                                 1200.17.024002
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.18.005001                                                                                 1200.18.005001
bosh-windows-server                                 pivotal                             2012r2                                             pivotal:bosh-windows-server:2012r2:1200.19.004001                                                                                 1200.19.004001
plesk-onyx-windows                                  plesk                               plsk-win-byol-azr-m                                plesk:plesk-onyx-windows:plsk-win-byol-azr-m:18.0.26                                                                              18.0.26
plesk-onyx-windows                                  plesk                               plsk-win-byol-azr-m                                plesk:plesk-onyx-windows:plsk-win-byol-azr-m:18.0.3002                                                                            18.0.3002
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-standard                            MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-standard:17763.1637.2012040632                                                  17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-standard                            MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-standard:17763.1697.2101090203                                                  17763.1697.2101090203
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.21.014001                                                                          1200.21.014001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.22.086001                                                                          1200.22.086001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.23.029001                                                                          1200.23.029001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.24.056001                                                                          1200.24.056001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.25.040001                                                                          1200.25.040001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.26.073001                                                                          1200.26.073001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.27.045001                                                                          1200.27.045001
bosh-windows-server                                 pivotal                             2012r2-20plus                                      pivotal:bosh-windows-server:2012r2-20plus:1200.28.033001                                                                          1200.28.033001
plesk-onyx-windows                                  plesk                               plsk-win-hst-azr-m                                 plesk:plesk-onyx-windows:plsk-win-hst-azr-m:18.0.26                                                                               18.0.26
plesk-onyx-windows                                  plesk                               plsk-win-hst-azr-m                                 plesk:plesk-onyx-windows:plsk-win-hst-azr-m:18.0.3002                                                                             18.0.3002
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.29.013001                                                                          1200.29.013001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.30.041001                                                                          1200.30.041001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.31.020001                                                                          1200.31.020001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.32.042001                                                                          1200.32.042001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.33.048001                                                                          1200.33.048001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.35.021001                                                                          1200.35.021001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.37.056001                                                                          1200.37.056001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.38.044001                                                                          1200.38.044001
bosh-windows-server                                 pivotal                             2012r2-29plus                                      pivotal:bosh-windows-server:2012r2-29plus:1200.39.028001                                                                          1200.39.028001
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-standard-g2                         MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-standard-g2:17763.1577.2011031610                                               17763.1577.2011031610
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-standard-g2                         MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-standard-g2:17763.1637.2012040632                                               17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprise-standard-g2                         MicrosoftWindowsDesktop:Windows-10:rs5-enterprise-standard-g2:17763.1697.2101090203                                               17763.1697.2101090203
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen                                    MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.1637.2012040632                                                          17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen                                    MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen:17763.1697.2101090203                                                          17763.1697.2101090203
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.1.008001                                                                               1709.1.008001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.2.002001                                                                               1709.2.002001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.3.001001                                                                               1709.3.001001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.4.006001                                                                               1709.4.006001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.5.033001                                                                               1709.5.033001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.6.009001                                                                               1709.6.009001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.7.002001                                                                               1709.7.002001
bosh-windows-server-1709                            pivotal                             1709                                               pivotal:bosh-windows-server-1709:1709:1709.8.004001                                                                               1709.8.004001
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-g2                                 MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.1577.2011031610                                                       17763.1577.2011031610
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-g2                                 MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.1637.2012040632                                                       17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-g2                                 MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-g2:17763.1697.2101090203                                                       17763.1697.2101090203
bosh-windows-server-1709                            pivotal                             1709-17onwards                                     pivotal:bosh-windows-server-1709:1709-17onwards:1709.17.041001                                                                    1709.17.041001
bosh-windows-server-1709                            pivotal                             1709-17onwards                                     pivotal:bosh-windows-server-1709:1709-17onwards:1709.18.066001                                                                    1709.18.066001
bosh-windows-server-1709                            pivotal                             1709-17onwards                                     pivotal:bosh-windows-server-1709:1709-17onwards:1709.19.022001                                                                    1709.19.022001
bosh-windows-server-1709                            pivotal                             1709-17onwards                                     pivotal:bosh-windows-server-1709:1709-17onwards:1709.20.047001                                                                    1709.20.047001
bosh-windows-server-1709                            pivotal                             1709-17onwards                                     pivotal:bosh-windows-server-1709:1709-17onwards:1709.21.045001                                                                    1709.21.045001
bosh-windows-server-1709                            pivotal                             1709-17onwards                                     pivotal:bosh-windows-server-1709:1709-17onwards:1709.22.014001                                                                    1709.22.014001
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-standard                           MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-standard:17763.1637.2012040632                                                 17763.1637.2012040632
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-standard                           MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-standard:17763.1697.2101090203                                                 17763.1697.2101090203
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.10.018001                                                                        1709.10.018001
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.11.067001                                                                        1709.11.067001
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.12.044001                                                                        1709.12.044001
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.13.067001                                                                        1709.13.067001
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.14.066002                                                                        1709.14.066002
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.15.049001                                                                        1709.15.049001
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.16.048001                                                                        1709.16.048001
bosh-windows-server-1709                            pivotal                             1709-9plus                                         pivotal:bosh-windows-server-1709:1709-9plus:1709.9.030001                                                                         1709.9.030001
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-standard-g2                        MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-standard-g2:17763.1577.2011031610                                              17763.1577.2011031610
Windows-10                                          MicrosoftWindowsDesktop             rs5-enterprisen-standard-g2                        MicrosoftWindowsDesktop:Windows-10:rs5-enterprisen-standard-g2:17763.1637.2012040632                                              17763.1637.2012040632
